X,Y,OBJECTID,PROJECT_NAME,ASSET_CATEGORY,PRACTICE_TYPE,CREDIT_RECEIVED,ACRES_MANAGED,DESCRIPTION,DESIGNER,INSTALLER,MAINTAINER,MEDIA_URL,ADDITIONAL_PRACTICETYPE,GALLONS_MANAGED_MG,PRACTICE_AREA,NEIGHBORHOOD,PROJECT_REASON,DESIGN_DATE,PROJECT_COST,MAINTENANCE_COST,MAX_DEPTH,UNDERDRAIN,PIPE_DIAMETER,STORM_EVENT_SIZE,CONSTRUCTION_START,OWNER_TYPE,INVERT_PIPE_in,Latitude,Longitude,GlobalID,DISTRICT,MEDIA_URL2,MEDIA_URL3,VIDEO_URL,Project_Page_URL,DOC_URL2,DOC_URL1,Num_RainBarrells,Size_RainBarrel,Downspout_RainBarrel,Purpose_RainBarrels,Installation_Date,OTHER_PRACTICETYPE,Secondary_Project_Reason,Project_Engineer,DEPTH
-9241872.7204,5226567.8566,769,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.41,This is a Diconnected Impervious project in Nortown.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.335,,Nortown,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,24048ea7-aaed-460b-a902-dd6dcf8c4cdf,District 3,,,,https://detroitstormwater.org/projects/drainage-credit-project-138,,,,,,,1970/01/01 00:00:00+00,,,,
-9264378.4322,5215519.5,770,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,1.6,This is a Diconnected Impervious project in Franklin Park.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,1.164,,Franklin Park,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,b429b2ef-b470-4814-8b2c-c7376e523dd1,District 7,,,,https://detroitstormwater.org/projects/drainage-credit-project-135,,,,,,,1970/01/01 00:00:00+00,,,,
-9255412.8628,5209933.9044,771,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,1.02,This is a Diconnected Impervious project in Claytown.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.823,,Claytown,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,a993ebcd-61aa-452a-b3bf-1b22153ab40b,District 6,,,,https://detroitstormwater.org/projects/drainage-credit-project-126,,,,,,,1970/01/01 00:00:00+00,,,,
-9238701.9703,5221032.2047,772,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,1.07,This is a Diconnected Impervious project in Airport Sub.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.88,,Airport Sub,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,f1960b39-c23a-4210-98ca-70633adab39d,District 3,,,,https://detroitstormwater.org/projects/drainage-credit-project-131,,,,,,,1970/01/01 00:00:00+00,,,,
-9244780.2538,5227554.5822,773,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.91,This is a Diconnected Impervious project in Farwell.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.719,,Farwell,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,9abcfdda-48b9-4029-9e2a-dc7bac6324a4,District 3,,,,https://detroitstormwater.org/projects/drainage-credit-project-137,,,,,,,1970/01/01 00:00:00+00,,,,
-9240292.0698,5217609.0364,774,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.72,This is a Diconnected Impervious project in Pingree Park.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.59,,Pingree Park,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,8c0a8152-a185-4b3b-b83b-1e5881f5c6fd,District 5,,,,https://detroitstormwater.org/projects/drainage-credit-project-127,,,,,,,1970/01/01 00:00:00+00,,,,
-9240126.0407,5217291.8264,775,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.35,This is a Diconnected Impervious project in Pingree Park.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.259,,Pingree Park,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,028cee29-318c-4d60-9b2c-89c0e9bcef26,District 5,,,,https://detroitstormwater.org/projects/drainage-credit-project-133,,,,,,,1970/01/01 00:00:00+00,,,,
-9262635.8019,5215541.0972,776,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.3,This is a Diconnected Impervious project in Joy Community.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.741,,Joy Community,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,ab04f967-b579-4bbb-9cde-3599622bf3f3,District 7,,,,https://detroitstormwater.org/projects/drainage-credit-project-129,,,,,,,1970/01/01 00:00:00+00,,,,
-9239619.8546,5212983.1698,777,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.32,This is a Diconnected Impervious project in Gold Coast.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.258,,Gold Coast,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,5a7329c4-58df-4a1c-92b6-4eb1f81f24ef,District 5,,,,https://detroitstormwater.org/projects/drainage-credit-project-130,,,,,,,1970/01/01 00:00:00+00,,,,
-9239326.9415,5213178.8951,778,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.25,This is a Diconnected Impervious project in Gold Coast.,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.183,,Gold Coast,Drainage Credit,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,ef38c12c-ea7f-40e2-a28d-325f9b2c5fc1,District 5,,,,https://detroitstormwater.org/projects/drainage-credit-project-128,,,,,,,1970/01/01 00:00:00+00,,,,
